family,scale,mode,label,dataset,metric,n_sequences,mean,std_between_seq,t_ci_low,t_ci_high,boot_ci_low,boot_ci_high
yolo26,l,nms,YOLO26-L (NMS),MOT17,IDF1,3,44.55153333333333,17.888248404282997,0.11466087509627698,88.98840579157039,34.1672,65.207
yolo26,l,nms,YOLO26-L (NMS),MOT20,IDF1,3,9.821115333333333,13.726433814682725,-24.27723655356497,43.91946722023163,0.835506,25.621400000000005
yolo26,l,nms,YOLO26-L (NMS),SOMPT22,IDF1,3,36.05073333333333,10.024338943458233,11.148894928521276,60.952571738145394,28.656200000000002,47.46020000000001
yolo26,m,end2end,YOLO26-M (E2E),MOT17,IDF1,3,44.90219999999999,17.788686187574395,0.7126537989542356,89.09174620104575,33.187599999999996,65.3716
yolo26,m,end2end,YOLO26-M (E2E),MOT20,IDF1,3,8.096940000000002,12.661783010571616,-23.356672674560578,39.550552674560585,0.0,22.688200000000005
yolo26,m,end2end,YOLO26-M (E2E),SOMPT22,IDF1,3,32.330000000000005,7.3415314996259475,14.092624739776234,50.56737526022378,27.092000000000002,40.7214
yolo26,m,nms,YOLO26-M (NMS),MOT17,IDF1,3,44.50253333333333,16.8667364600664,2.6032372187281254,86.40182944793854,34.4818,63.97579999999999
yolo26,m,nms,YOLO26-M (NMS),MOT20,IDF1,3,8.584066666666667,13.14544684114364,-24.071033569227502,41.23916690256083,0.0,23.717599999999994
yolo26,m,nms,YOLO26-M (NMS),SOMPT22,IDF1,3,33.589133333333336,8.945634073297057,11.366946376337399,55.81132029032928,27.8536,43.896800000000006
yolo26,n,end2end,YOLO26-N (E2E),MOT17,IDF1,3,36.571400000000004,17.77172126835215,-7.57600300542898,80.71880300542898,25.8836,57.086400000000005
yolo26,n,end2end,YOLO26-N (E2E),MOT20,IDF1,3,8.387370666666667,11.368200450432838,-19.85280478699063,36.62754612032397,0.49933200000000005,21.418200000000002
yolo26,n,end2end,YOLO26-N (E2E),SOMPT22,IDF1,3,28.991799999999998,7.940317381566055,9.266958149185125,48.71664185081487,23.790000000000003,38.1314
yolo26,n,nms,YOLO26-N (NMS),MOT17,IDF1,3,37.107533333333336,20.09806772237902,-12.818834629140454,87.03390129580713,24.155999999999995,60.260400000000004
yolo26,n,nms,YOLO26-N (NMS),MOT20,IDF1,3,7.618903333333333,10.569800526340757,-18.63793675982823,33.87574342649489,0.25633,19.7302
yolo26,n,nms,YOLO26-N (NMS),SOMPT22,IDF1,3,29.375133333333338,9.257584631713252,6.37801822997416,52.372248436692516,23.414,40.040200000000006
yolo26,s,end2end,YOLO26-S (E2E),MOT17,IDF1,3,42.697333333333326,17.13909870014562,0.12145190689052754,85.27321475977612,30.087400000000002,62.211800000000004
yolo26,s,end2end,YOLO26-S (E2E),MOT20,IDF1,3,8.563317066666668,13.218988069967605,-24.274469709117568,41.40110384245091,0.0754112,23.794
yolo26,s,end2end,YOLO26-S (E2E),SOMPT22,IDF1,3,34.019733333333335,10.370845831142866,8.257124101442646,59.78234256522403,27.365199999999998,45.9692
yolo26,s,nms,YOLO26-S (NMS),MOT17,IDF1,3,43.140066666666655,17.839233554537405,-1.1750461548816062,87.45517948821492,29.458999999999993,63.316999999999986
yolo26,s,nms,YOLO26-S (NMS),MOT20,IDF1,3,8.629918666666667,13.448746284200817,-24.778619153678704,42.03845648701204,0.036816,24.128599999999995
yolo26,s,nms,YOLO26-S (NMS),SOMPT22,IDF1,3,35.40186666666666,12.382345847751681,4.642414386331598,66.16131894700173,27.113199999999996,49.63559999999999
yolo26,x,end2end,YOLO26-X (E2E),MOT17,IDF1,3,43.522333333333336,18.556831756884936,-2.575392244550663,89.62005891121734,30.519799999999993,64.7734
yolo26,x,end2end,YOLO26-X (E2E),MOT20,IDF1,3,8.356944,12.207493666683918,-21.968151383362837,38.682039383362834,0.397492,22.4118
yolo26,x,end2end,YOLO26-X (E2E),SOMPT22,IDF1,3,31.5928,7.0101421583303125,14.178641499760815,49.006958500239186,26.069200000000006,39.479
yolo26,x,nms,YOLO26-X (NMS),MOT17,IDF1,3,44.13986666666667,15.951354919671664,4.514504357196131,83.76522897613721,33.2602,62.451
yolo26,x,nms,YOLO26-X (NMS),MOT20,IDF1,3,9.479339333333334,13.061029163386833,-22.966055765706756,41.92473443237343,0.717318,24.491
yolo26,x,nms,YOLO26-X (NMS),SOMPT22,IDF1,3,33.163933333333325,8.064278939454745,13.131153901759838,53.19671276490681,27.020999999999997,42.296
rtdetr,l,nms,RT-DETR-L,MOT17,MOTA,3,34.74693333333334,17.02892415901056,-7.55525936060107,77.04912602726775,23.5518,54.344000000000015
rtdetr,l,nms,RT-DETR-L,MOT20,MOTA,3,7.207676666666667,10.805200675629923,-19.63392981469577,34.049283148029104,0.24693,19.6554
rtdetr,l,nms,RT-DETR-L,SOMPT22,MOTA,3,27.551266666666667,9.666889370078323,3.5373822271367104,51.56515110619662,20.953200000000002,38.6476
rtdetr,x,nms,RT-DETR-X,MOT17,MOTA,3,35.54886666666667,16.78027530683968,-6.135648036606618,77.23338136993996,22.9212,54.59000000000001
rtdetr,x,nms,RT-DETR-X,MOT20,MOTA,3,8.64005,11.826571702446149,-20.73878276676578,38.018882766765785,0.48751000000000005,22.2042
rtdetr,x,nms,RT-DETR-X,SOMPT22,MOTA,3,27.973200000000002,8.852715251266137,5.981836192942492,49.964563807057516,21.128,37.970600000000005
yolo11,l,nms,YOLO11-L,MOT17,MOTA,3,30.916533333333334,18.508041254906832,-15.059989918611635,76.8930565852783,19.166800000000002,52.251200000000004
yolo11,l,nms,YOLO11-L,MOT20,MOTA,3,5.121129999999999,7.827952150716047,-14.324581143370837,24.566841143370837,0.09283000000000001,14.140199999999998
yolo11,l,nms,YOLO11-L,SOMPT22,MOTA,3,25.44786666666667,9.61643094985522,1.5593278916882731,49.33640544164507,19.6284,36.5476
yolo11,m,nms,YOLO11-M,MOT17,MOTA,3,31.384933333333333,18.259781384598593,-13.974878212464692,76.74474487913136,20.266,52.4588
yolo11,m,nms,YOLO11-M,MOT20,MOTA,3,6.363214,9.835297990092014,-18.0690206434898,30.7954486434898,0.356902,17.7136
yolo11,m,nms,YOLO11-M,SOMPT22,MOTA,3,27.372600000000002,11.93301002597417,-2.270640220217217,57.01584022021722,18.7828,40.998000000000005
yolo11,n,nms,YOLO11-N,MOT17,MOTA,3,28.5836,17.355504889227507,-14.529864201797285,71.69706420179729,17.195,48.55859999999999
yolo11,n,nms,YOLO11-N,MOT20,MOTA,3,7.474093333333333,8.772016283645018,-14.316803124957236,29.2649897916239,0.12764,17.1864
yolo11,n,nms,YOLO11-N,SOMPT22,MOTA,3,24.302400000000002,11.474982060116696,-4.203035677194379,52.80783567719438,15.475999999999999,37.274
yolo11,s,nms,YOLO11-S,MOT17,MOTA,3,31.1062,16.717558998849086,-10.42251875745211,72.63491875745211,19.0158,50.1838
yolo11,s,nms,YOLO11-S,MOT20,MOTA,3,7.7568866666666665,10.746597004528146,-18.939140225264836,34.45291355859817,1.12624,20.156
yolo11,s,nms,YOLO11-S,SOMPT22,MOTA,3,28.142133333333334,13.32750011117364,-4.965212296189826,61.24947896285649,18.391399999999997,43.32840000000001
yolo11,x,nms,YOLO11-X,MOT17,MOTA,3,31.007533333333328,19.844786263735195,-18.289648606036202,80.30471527270285,18.3936,53.881999999999984
yolo11,x,nms,YOLO11-X,MOT20,MOTA,3,5.27216,8.36948162705433,-15.518784937567176,26.063104937567175,0.12052,14.9292
