family,scale,mode,label,dataset,metric,mean,std,n,ci_low,ci_high,ci_half_width
yolo11,x,nms,YOLO11-X,SOMPT22,IDF1,34.365066666666664,6.987154647398801,15,30.495709394878023,38.2344239384553,3.869357271788639
yolo26,l,end2end,YOLO26-L (E2E),MOT17,IDF1,43.928999999999995,15.828713087298032,15,35.16335086552809,52.6946491344719,8.765649134471905
yolo26,l,end2end,YOLO26-L (E2E),MOT20,IDF1,9.004146,11.005143466817035,15,2.9097006858035286,15.098591314196472,6.094445314196472
yolo26,l,end2end,YOLO26-L (E2E),SOMPT22,IDF1,33.234,7.5330902404941735,15,29.062313673871877,37.40568632612813,4.171686326128125
yolo26,l,nms,YOLO26-L (NMS),MOT17,IDF1,44.55153333333333,15.118329787128632,15,36.179281357931174,52.92378530873549,8.372251975402156
yolo26,l,nms,YOLO26-L (NMS),MOT20,IDF1,9.821115333333333,11.60095689361188,15,3.3967195411613647,16.245511125505303,6.4243957921719685
yolo26,l,nms,YOLO26-L (NMS),SOMPT22,IDF1,36.05073333333333,8.472124758513033,15,31.359027024234102,40.742439642432565,4.6917063090992315
yolo26,m,end2end,YOLO26-M (E2E),MOT17,IDF1,44.9022,15.03418890966282,15,36.576543689429485,53.227856310570516,8.325656310570517
yolo26,m,end2end,YOLO26-M (E2E),MOT20,IDF1,8.09694,10.701166569104242,15,2.1708314808190243,14.023048519180975,5.926108519180976
yolo26,m,end2end,YOLO26-M (E2E),SOMPT22,IDF1,32.33,6.204728001405749,15,28.893936162390823,35.766063837609174,3.4360638376091774
yolo26,m,nms,YOLO26-M (NMS),MOT17,IDF1,44.502533333333325,14.254994181823069,15,36.608380680325126,52.396685986341524,7.894152653008201
yolo26,m,nms,YOLO26-M (NMS),MOT20,IDF1,8.584066666666667,11.10993311582456,15,2.4315907791027653,14.736542554230567,6.152475887563901
yolo26,m,nms,YOLO26-M (NMS),SOMPT22,IDF1,33.58913333333333,7.56059657384131,15,29.40221450752143,37.77605215914523,4.186918825811899
yolo26,n,end2end,YOLO26-N (E2E),MOT17,IDF1,36.571400000000004,15.025381353848275,15,28.250621151265882,44.892178848734126,8.32077884873412
yolo26,n,end2end,YOLO26-N (E2E),MOT20,IDF1,8.387370666666667,9.607884341087098,15,3.0667016650824994,13.708039668250835,5.320669001584168
yolo26,n,end2end,YOLO26-N (E2E),SOMPT22,IDF1,28.991799999999998,6.710845201186339,15,25.27545779928383,32.70814220071617,3.716342200716167
yolo26,n,nms,YOLO26-N (NMS),MOT17,IDF1,37.107533333333336,16.98596775857172,15,27.701017923020345,46.51404874364633,9.406515410312991
yolo26,n,nms,YOLO26-N (NMS),MOT20,IDF1,7.618903333333336,8.933117083696139,15,2.6719079837446307,12.56589868292204,4.946995349588705
yolo26,n,nms,YOLO26-N (NMS),SOMPT22,IDF1,29.37513333333333,7.8240887179700795,15,25.04229742175557,33.70796924491109,4.332835911577761
yolo26,s,end2end,YOLO26-S (E2E),MOT17,IDF1,42.697333333333326,14.490316390446349,15,34.672863584869276,50.721803081797376,8.024469748464051
yolo26,s,end2end,YOLO26-S (E2E),MOT20,IDF1,8.563317066666666,11.172086335370995,15,2.3764218733691216,14.750212259964211,6.186895193297545
yolo26,s,end2end,YOLO26-S (E2E),SOMPT22,IDF1,34.019733333333335,8.764980095052506,15,29.165849144509775,38.87361752215689,4.853884188823559
yolo26,s,nms,YOLO26-S (NMS),MOT17,IDF1,43.14006666666667,15.076904212672284,15,34.79075540974716,51.489377923586176,8.34931125691951
yolo26,s,nms,YOLO26-S (NMS),MOT20,IDF1,8.629918666666663,11.366301188161602,15,2.3354708727959412,14.924366460537385,6.294447793870722
yolo26,s,nms,YOLO26-S (NMS),SOMPT22,IDF1,35.40186666666668,10.46501310398925,15,29.60653557744297,41.197197755890386,5.79533108922371
yolo26,x,end2end,YOLO26-X (E2E),MOT17,IDF1,43.522333333333336,15.683450165548333,15,34.837128123600195,52.20753854306648,8.68520520973314
yolo26,x,end2end,YOLO26-X (E2E),MOT20,IDF1,8.356943999999999,10.317215383146754,15,2.643460560464219,14.070427439535777,5.713483439535779
yolo26,x,end2end,YOLO26-X (E2E),SOMPT22,IDF1,31.592799999999997,5.924662620894845,15,28.3118312005491,34.87376879945089,3.280968799450898
