dataset,sequence,family,scale,mode,tracker,density,HOTA,IDF1,MOTA,IDSW,Frag,FPS_mean,FPS_std,Lat_mean,Lat_std,Runs
MOT20,MOT20-05,yolo26,m,end2end,botsort,226.6,0.0,0.0,0.0,0.0,0.0,41.9328899199985,0.5474563695953861,23.847628959221414,0.3109904567880746,5
MOT20,MOT20-05,yolo26,m,end2end,bytetrack,226.6,0.62323,0.0906,0.019804,0.0,0.0,87.07643850645789,3.569098555574587,11.484162847632273,0.4894447130909213,5
MOT20,MOT20-05,yolo26,m,nms,botsort,226.6,0.021561,0.0,-0.020732,0.0,0.0,40.329215922422556,1.394987419797186,24.795919710504762,0.8681946837736486,5
MOT20,MOT20-05,yolo26,m,nms,bytetrack,226.6,1.4059599999999999,0.40037,0.15224,4.0,9.0,86.13755405211202,2.00108286119278,11.60933823817442,0.2693902659552117,5
MOT20,MOT20-05,yolo26,n,end2end,botsort,226.6,1.47198,0.49933200000000005,0.20153400000000002,10.0,28.0,34.288085022368506,2.6929962487985777,29.164650033608773,2.3932696325237837,5
MOT20,MOT20-05,yolo26,n,end2end,bytetrack,226.6,2.21,1.32606,0.6114999999999999,56.0,160.4,85.69003478162415,3.6532967138689005,11.669968422214314,0.5181422743083527,5
MOT20,MOT20-05,yolo26,n,nms,botsort,226.6,1.1711399999999998,0.25633,0.069004,1.0,3.0,35.218122760836565,3.625318968831588,28.394471982249577,3.187389694825539,5
MOT20,MOT20-05,yolo26,n,nms,bytetrack,226.6,2.02048,1.1098999999999999,0.38437399999999994,41.2,68.0,87.39223801225401,1.7384064528240735,11.442663819409013,0.22463966841346952,5
MOT20,MOT20-05,yolo26,s,end2end,botsort,226.6,0.7064600000000001,0.0754112,0.03772,0.0,0.0,40.377175230258395,0.724495651393127,24.766467547502096,0.45476040037581433,5
MOT20,MOT20-05,yolo26,s,end2end,bytetrack,226.6,1.1826,0.243728,0.07444959999999998,0.6,0.2,90.76686504343725,3.1636215045550404,11.017236295661876,0.3778603418305757,5
MOT20,MOT20-05,yolo26,s,nms,botsort,226.6,0.55618,0.036816,0.018411,0.0,0.0,40.3889594963819,1.0945352289585597,24.759241447890762,0.677214701396725,5
MOT20,MOT20-05,yolo26,s,nms,bytetrack,226.6,1.07792,0.22764,0.061112999999999994,3.0,4.0,88.61417474190947,4.078699197548274,11.284876295609813,0.5015058363234073,5
MOT20,MOT20-05,yolo26,x,end2end,botsort,226.6,1.6006399999999998,0.39749199999999996,0.08896180000000001,0.0,12.4,31.4658440807445,1.7965933798484264,31.78049180673177,1.860612705546857,5
