family,scale,mode,tracker,dataset,fps_mean,fps_std,lat_mean,lat_std
yolo26,m,nms,bytetrack,SOMPT22,66.00568961822124,1.1622938113814685,15.150209107487978,0.27926204859462506
yolo26,n,end2end,botsort,MOT17,34.32621843120557,1.9822395498979288,29.132250673173818,1.9186977538635344
yolo26,n,end2end,botsort,MOT20,33.33762812590376,3.244987167091374,29.996135184644025,2.9539773853410387
yolo26,n,end2end,botsort,SOMPT22,27.360502556342688,1.3797509780513488,36.54903625913775,1.779013166400279
yolo26,n,end2end,bytetrack,MOT17,99.94458915418257,4.620840270338429,10.005544156645835,0.5085438038061051
yolo26,n,end2end,bytetrack,MOT20,87.43831813346365,5.549542917756323,11.43663351888385,0.7123740351759099
yolo26,n,end2end,bytetrack,SOMPT22,70.04653369398606,3.096711071327628,14.276223922353154,0.6291687083433591
yolo26,n,nms,botsort,MOT17,33.13915421189395,1.838463576365541,30.175785223905642,1.6989757877245726
yolo26,n,nms,botsort,MOT20,33.3489815755314,3.600323371075828,29.985923190341552,3.5072945427843756
yolo26,n,nms,botsort,SOMPT22,27.47416238915825,1.5994391739150453,36.39783392976582,2.1020770589782036
yolo26,n,nms,bytetrack,MOT17,99.22555075279762,10.09430800556668,10.07804937753702,0.8392247836712604
yolo26,n,nms,bytetrack,MOT20,87.56998334215214,3.5195824837983003,11.419438052109875,0.42848578675418825
yolo26,n,nms,bytetrack,SOMPT22,67.07919793711218,3.9829790991969354,14.907751296273934,0.915730325001665
yolo26,s,end2end,botsort,MOT17,34.03517844795806,0.6972855171334813,29.38136497591935,0.6301383039641469
yolo26,s,end2end,botsort,MOT20,35.63509417084123,1.9678559153010073,28.062224143587642,1.8014897847873919
yolo26,s,end2end,botsort,SOMPT22,26.4270866855726,1.4612441139193464,37.83996366674546,2.153233274226625
yolo26,s,end2end,bytetrack,MOT17,90.6163576184799,4.150409007792159,11.035535153711193,0.5352795249433129
yolo26,s,end2end,bytetrack,MOT20,91.68488262757137,3.7528651528972907,10.906923489906735,0.3889539936603814
yolo26,s,end2end,bytetrack,SOMPT22,66.38608360720238,2.945401145989702,15.063398014512604,0.6581324430583128
yolo26,s,nms,botsort,MOT17,32.31871846035425,1.4663347527122481,30.941820952050183,1.528254056199245
yolo26,s,nms,botsort,MOT20,35.490950864013556,2.510066097632286,28.17619634457191,2.088428764670089
yolo26,s,nms,botsort,SOMPT22,26.25223610062458,1.5478091740985926,38.091993236957386,2.161222858087397
yolo26,s,nms,bytetrack,MOT17,96.29731498368785,2.2985142452764245,10.384505530288083,0.2691394581392452
yolo26,s,nms,bytetrack,MOT20,87.62780982061824,2.783085845882262,11.411902249378219,0.33663650916023585
yolo26,s,nms,bytetrack,SOMPT22,65.3045027465701,3.4562485405603667,15.31287978534561,0.8237848519295806
yolo26,x,end2end,botsort,MOT17,28.9255153312397,1.0751215778288372,34.57155347272223,1.4477284954981045
yolo26,x,end2end,botsort,MOT20,30.88993585889677,1.415237023821434,32.37300344578038,1.2664684267607191
yolo26,x,end2end,botsort,SOMPT22,24.801567451482963,0.8063715203618648,40.32003227038809,1.3306295086403954
yolo26,x,end2end,bytetrack,MOT17,74.3694282204596,2.0960216102571105,13.446385482965061,0.42192992331260065
yolo26,x,end2end,bytetrack,MOT20,67.93737986587081,1.5536366555784022,14.71943725198567,0.340276258329387
yolo26,x,end2end,bytetrack,SOMPT22,59.58724483558608,1.079260191532431,16.78211507780253,0.3233333994827259
yolo26,x,nms,botsort,MOT17,29.193206036634614,1.169192581618893,34.254545346787125,1.5502510032226455
yolo26,x,nms,botsort,MOT20,29.49767322312632,1.8726733009267515,33.90097898352183,1.897828553682383
yolo26,x,nms,botsort,SOMPT22,25.06140117555539,0.35453036380068315,39.90199881463088,0.601409842657127
yolo26,x,nms,bytetrack,MOT17,71.9074676769802,2.8231005084017493,13.906761457546514,0.5989665416022157
yolo26,x,nms,bytetrack,MOT20,64.27011697440605,3.046036649471002,15.559330635701578,0.8415129516606608
yolo26,x,nms,bytetrack,SOMPT22,58.46964724753555,1.4508462107574844,17.10289093700919,0.4680675110278116
